Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Species Key	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
seqoccin.Bt.SAMEA117655803.scaffold	GCA_965153835.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUFY02	4655
seqoccin.Bt.SAMEA117655761.scaffold	GCA_965177715.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXSR02	2538
seqoccin.Bt.SAMEA117655707.scaffold	GCA_965153645.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-09-16	CBCUFR02	4220
seqoccin.Bt.SAMEA117655825.scaffold	GCA_965153895.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUGQ02	2566
seqoccin.Bt.SAMEA117655756.scaffold	GCA_965177585.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXRU02	3216
seqoccin.Bt.SAMEA117655776.scaffold	GCA_965153595.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUFP02	7660
seqoccin.Bt.SAMEA117655716.scaffold	GCA_965154165.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-09-16	CBCUHQ02	3860
seqoccin.Bt.SAMEA117655790.scaffold	GCA_965177355.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXRX02	2937
seqoccin.Bt.SAMEA117655762.scaffold	GCA_965153615.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUEY02	3410
seqoccin.Bt.SAMEA117655735.scaffold	GCA_965153505.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUFE02	3739
seqoccin.Bt.SAMEA117655797.scaffold	GCA_965177475.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCXRN02	3366
seqoccin.Bt.SAMEA117655709.scaffold	GCA_965154275.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-09-16	CBCUHN02	3853
seqoccin.Bt.SAMEA117655818.scaffold	GCA_965153925.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUGV02	4187
seqoccin.Bt.SAMEA117655786.scaffold	GCA_965154015.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUHA02	4473
seqoccin.Bt.SAMEA117655798.scaffold	GCA_965177725.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCXSN02	5270
seqoccin.Bt.SAMEA117655802.scaffold	GCA_965153715.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUFT02	4102
seqoccin.Bt.SAMEA117655846.scaffold	GCA_965177765.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCXSZ02	2884
seqoccin.Bt.SAMEA117655750.scaffold	GCA_965177535.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXRP02	2621
seqoccin.Bt.SAMEA117655713.scaffold	GCA_965154245.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUHT02	3426
seqoccin.Bt.SAMEA117655769.scaffold	GCA_965153495.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUEV02	4042
seqoccin.Bt.SAMEA117655760.scaffold	GCA_965153475.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUEW02	3850
seqoccin.Bt.SAMEA117655766.scaffold	GCA_965177345.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXRG02	3499
seqoccin.Bt.SAMEA117655817.scaffold	GCA_965153805.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUFW02	3407
seqoccin.Bt.SAMEA117655736.scaffold	GCA_965154375.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUIF02	4702
seqoccin.Bt.SAMEA117655783.scaffold	GCA_965154055.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUGU02	3213
seqoccin.Bt.SAMEA117655768.scaffold	GCA_965153515.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUFK02	3512
seqoccin.Bt.SAMEA117655744.scaffold	GCA_965154435.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUIK02	3197
seqoccin.Bt.SAMEA117655740.scaffold	GCA_965154425.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUID02	3548
seqoccin.Bt.SAMEA117655715.scaffold	GCA_965154295.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUHU02	3105
seqoccin.Bt.SAMEA117655720.scaffold	GCA_965153555.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUFA02	2582
seqoccin.Bt.SAMEA117655764.scaffold	GCA_965177375.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXSF02	2982
seqoccin.Bt.SAMEA117655717.scaffold	GCA_965154265.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-09-16	CBCUHL02	3078
seqoccin.Bt.SAMEA117655821.scaffold	GCA_965177665.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXSB02	1614
seqoccin.Bt.SAMEA117655763.scaffold	GCA_965177755.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXSV02	2999
seqoccin.Bt.SAMEA117655743.scaffold	GCA_965154345.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUIM02	5066
seqoccin.Bt.SAMEA117655805.scaffold	GCA_965154005.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUGY02	4518
seqoccin.Bt.SAMEA117655800.scaffold	GCA_965154035.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUGW02	3627
seqoccin.Bt.SAMEA117655809.scaffold	GCA_965153985.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUGR02	4279
seqoccin.Bt.SAMEA117655770.scaffold	GCA_965153665.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUFB02	3912
seqoccin.Bt.SAMEA117655801.scaffold	GCA_965153765.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUFV02	3451
seqoccin.Bt.SAMEA117655796.scaffold	GCA_965177525.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXRK02	2981
seqoccin.Bt.SAMEA117655749.scaffold	GCA_965177685.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXSU02	2362
seqoccin.Bt.SAMEA117655795.scaffold	GCA_965177515.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCXSI02	4011
seqoccin.Bt.SAMEA117655811.scaffold	GCA_965177615.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXSA02	3166
seqoccin.Bt.SAMEA117655812.scaffold	GCA_965177555.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXRO02	3718
seqoccin.Bt.SAMEA117655714.scaffold	GCA_965154235.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUHM02	2768
seqoccin.Bt.SAMEA117655738.scaffold	GCA_965154395.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUIC02	3373
seqoccin.Bt.SAMEA117655816.scaffold	GCA_965177405.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXRS02	2718
seqoccin.Bt.SAMEA117655772.scaffold	GCA_965177655.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXSC02	2944
seqoccin.Bt.SAMEA117655822.scaffold	GCA_965177435.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXRV02	2739
seqoccin.Bt.SAMEA117655752.scaffold	GCA_965177605.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXSL02	2409
seqoccin.Bt.SAMEA117655751.scaffold	GCA_965177485.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXSJ02	2336
seqoccin.Bt.SAMEA117655844.scaffold	GCA_965177795.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXSX02	1591
seqoccin.Bt.SAMEA117655807.scaffold	GCA_965153775.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUFX02	3725
seqoccin.Bt.SAMEA117655734.scaffold	GCA_965154365.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUIB02	2912
seqoccin.Bt.SAMEA117655773.scaffold	GCA_965177455.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXRL02	3602
seqoccin.Bt.SAMEA117655839.scaffold	GCA_965177785.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXSY02	2807
seqoccin.Bt.SAMEA117655771.scaffold	GCA_965177735.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXSO02	3111
seqoccin.Bt.SAMEA117655794.scaffold	GCA_965177465.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXRM02	3590
seqoccin.Bt.SAMEA117655808.scaffold	GCA_965177635.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCXSQ02	3793
seqoccin.Bt.SAMEA117655721.scaffold	GCA_965154305.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUHX02	1932
seqoccin.Bt.SAMEA117655782.scaffold	GCA_965177705.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXST02	3138
seqoccin.Bt.SAMEA117655719.scaffold	GCA_965154155.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-09-16	CBCUHP02	1919
seqoccin.Bt.SAMEA117655745.scaffold	GCA_965177325.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXRF02	2371
seqoccin.Bt.SAMEA117655737.scaffold	GCA_965154385.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUIE02	3673
seqoccin.Bt.SAMEA117655824.scaffold	GCA_965177645.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXSS02	2022
SNNPC3_IISER1.0	GCA_033032115.1		Bos taurus	Bos taurus					SNNPC3			Contig	2023-10-25	JASJPV01	1832
seqoccin.Bt.SAMEA117655806.scaffold	GCA_965177545.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCXSD02	3654
seqoccin.Bt.SAMEA117655732.scaffold	GCA_965154355.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUIA02	2266
seqoccin.Bt.SAMEA117655793.scaffold	GCA_965177445.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXRH02	3136
seqoccin.Bt.SAMEA117655845.scaffold	GCA_965177805.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCXTB02	3231
seqoccin.Bt.SAMEA117655823.scaffold	GCA_965177415.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXRT02	2614
seqoccin.Bt.SAMEA117655836.scaffold	GCA_965177675.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXSH02	1923
seqoccin.Bt.SAMEA117655767.scaffold	GCA_965177365.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXRY02	2749
seqoccin.Bt.SAMEA117655799.scaffold	GCA_965177575.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXRW02	2972
seqoccin.Bt.SAMEA117655840.scaffold	GCA_965177825.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXTC02	2588
seqoccin.Bt.SAMEA117655741.scaffold	GCA_965154415.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUIN02	3019
seqoccin.Bt.SAMEA117655847.scaffold	GCA_965177775.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXSW02	2543
seqoccin.Bt.SAMEA117655723.scaffold	GCA_965154205.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-09-16	CBCUHY02	2015
seqoccin.Bt.SAMEA117655725.scaffold	GCA_965154325.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUII02	2089
seqoccin.Bt.SAMEA117655704.scaffold	GCA_965154215.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUHS02	1945
seqoccin.Bt.SAMEA117655705.scaffold	GCA_965154225.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUHK02	3377
seqoccin.Bt.SAMEA117655726.scaffold	GCA_965154315.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUIH02	1981
seqoccin.Bt.SAMEA117655724.scaffold	GCA_965154175.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUHZ02	1872
seqoccin.Bt.SAMEA117655747.scaffold	GCA_965177335.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXRE02	1939
seqoccin.Bt.SAMEA114112003.scaffold	GCA_964019245.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-08-25	CAXHSP02	1677
seqoccin.Bt.SAMEA114111958.scaffold	GCA_964019265.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CAXHSQ02	2376
seqoccin.Bt.char.SAMEA114112360_v1	GCA_964019275.1		Bos taurus	Bos taurus		mammals						Contig	2024-03-29	CAXHSO01	12314
seqoccin.Bt.SAMEA114112153.scaffold	GCA_964019215.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-08-25	CAXHSR02	1742
seqoccin.Bt.SAMEA117655703.scaffold	GCA_974728815.1		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CDETGU01	1635
seqoccin.Bt.char.SAMEA114111949_v1	GCA_964019205.1		Bos taurus	Bos taurus		mammals						Contig	2024-03-29	CAXHSS01	16814
seqoccin.Bt.SAMEA114111947.scaffold	GCA_964019235.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-08-25	CAXHSU02	2278
seqoccin.Bt.SAMEA114111952.scaffold	GCA_964019225.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-08-25	CAXHST02	1805
Brown Swiss cow	GCA_914753205.1		Bos taurus	Bos taurus								Scaffold	2021-09-22	CAJZAZ01	14725
seqoccin.Bt.SAMEA114112080.scaffold	GCA_964019255.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-08-25	CAXHSV02	2313
seqoccin.Bt.SAMEA114112439.scaffold	GCA_964019295.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-08-25	CAXHSW02	2620
B.taurus_INIA.1	GCA_024542955.1		Bos taurus	Bos taurus	Arequipa fighting bull				INIA-2022	male		Scaffold	2022-08-05	JANIWY01	12639
seqoccin.Sh.SAMEA118215303_hap2_	GCA_984506445.1		Ovis aries	Ovis aries		mammals						Scaffold	2026-06-16	CFGVMM01	326
seqoccin.Sh.SAMEA118215303_hap1_	GCA_984506435.1		Ovis aries	Ovis aries		mammals						Scaffold	2026-06-16	CFGVMI01	384
ASM5008489v1	GCA_050084895.1		Ovis aries	Ovis aries	Pedi							Scaffold	2025-05-01	JBLGTL01	106
ASM2270250v1	GCA_022702505.1		Ovis aries	Ovis aries	East Friesian				EF_391	male		Scaffold	2022-03-28	JAKFGC01	1920
ASM2270266v1	GCA_022702665.1		Ovis aries	Ovis aries	East Friesian				EF_391	male		Scaffold	2022-03-28	JAKFGD01	1953
ASM2132899v1	GCA_021328995.1		Ovis aries	Ovis aries	Polled Dorset sheep				DOR1	female		Scaffold	2021-12-30	JAJTAW01	2586
seqoccin.Sh.SAMEA118215308	GCA_965364855.1		Ovis aries	Ovis aries		mammals						Scaffold	2025-07-02	CBDUAQ01	726
seqoccin.Go.SAMEA118215308_	GCA_984513465.1		Ovis aries	Ovis aries		mammals						Scaffold	2026-06-16	CFGWSR01	726
Oar_Finn	GCA_965637775.1		Ovis aries	Ovis aries								Scaffold	2025-07-10	CBFEWE01	1481
ASM2132743v1	GCA_021327435.1		Ovis aries	Ovis aries	Polled Dorset sheep				DOR1	female		Scaffold	2021-12-30	JAJTAV01	2856
seqoccin.Sh.SAMEA118215306	GCA_965363385.1		Ovis aries	Ovis aries		mammals						Scaffold	2025-07-08	CBDTXI01	939
seqoccin.Go.SAMEA118215306_	GCA_984514685.1		Ovis aries	Ovis aries		mammals						Scaffold	2026-06-16	CFGWSW01	939
seqoccin.Sh.SAMEA118215298	GCA_965363705.1		Ovis aries	Ovis aries		mammals						Scaffold	2025-07-02	CBDTXU01	1002
seqoccin.Go.SAMEA118215298_	GCA_984507005.1		Ovis aries	Ovis aries		mammals						Scaffold	2026-06-16	CFGVNN01	1002
seqoccin.Sh.SAMEA118215311_hap1_	GCA_984506455.1		Ovis aries	Ovis aries		mammals						Scaffold	2026-06-16	CFGVML01	1035
seqoccin.Sh.SAMEA118215309	GCA_965363435.1		Ovis aries	Ovis aries		mammals						Scaffold	2025-07-02	CBDTYB01	1055
seqoccin.Go.SAMEA118215309_	GCA_984538235.1		Ovis aries	Ovis aries		mammals						Scaffold	2026-06-16	CFHAKB01	1055
seqoccin.Sh.SAMEA118215299	GCA_965363785.1		Ovis aries	Ovis aries		mammals						Scaffold	2025-07-08	CBDTXR01	1533
ASM2132737v1	GCA_021327375.1		Ovis aries	Ovis aries	Yunnan sheep				YUN1	female		Scaffold	2021-12-30	JAJTAR01	2726
ASM2422213v1	GCA_024222135.1		Ovis aries	Ovis aries	Waggir sheep				WAG1	female		Scaffold	2022-07-12	JAMHGD01	1548
ASM2132593v1	GCA_021325935.1		Ovis aries	Ovis aries	Kermani sheep				KER1	male		Scaffold	2021-12-30	JAJTAF01	4013
ASM2132590v1	GCA_021325905.1		Ovis aries	Ovis aries	Kermani sheep				KER1	male		Scaffold	2021-12-30	JAJTAG01	4049
ASM2132673v1	GCA_021326735.1		Ovis aries	Ovis aries	Qiaoke sheep				QK1	female		Scaffold	2021-12-30	JAJTAH01	4282
seqoccin.Sh.SAMEA118215311_hap2_	GCA_984506415.1		Ovis aries	Ovis aries		mammals						Scaffold	2026-06-16	CFGVMK01	1819
ASM2132895v1	GCA_021328955.1		Ovis aries	Ovis aries	Yunnan sheep				YUN1	female		Contig	2021-12-30	JAJTAS01	2654
seqoccin.Sh.SAMEA118215305	GCA_965364765.1		Ovis aries	Ovis aries		mammals						Scaffold	2025-07-08	CBDUAK01	2322
seqoccin.Go.SAMEA118215305_	GCA_984506815.1		Ovis aries	Ovis aries		mammals						Scaffold	2026-06-16	CFGVMS01	2322
ASM2422218v1	GCA_024222185.1		Ovis aries	Ovis aries	Waggir sheep				WAG1	female		Scaffold	2022-07-12	JAMHGC01	1871
seqoccin.Sh.SAMEA118215297	GCA_965363445.1		Ovis aries	Ovis aries		mammals						Scaffold	2025-07-08	CBDTXW01	2441
seqoccin.Go.SAMEA118215297_	GCA_984514235.1		Ovis aries	Ovis aries		mammals						Scaffold	2026-06-16	CFGWSV01	2441
seqoccin.Sh.SAMEA118215310_hap1_	GCA_984506635.1		Ovis aries	Ovis aries		mammals						Scaffold	2026-06-16	CFGVMP01	960
ASM2132730v1	GCA_021327305.1		Ovis aries	Ovis aries	Ujimqin sheep				UJQ1	female		Scaffold	2021-12-30	JAJTAO01	3653
ASM2132731v1	GCA_021327315.1		Ovis aries	Ovis aries	Ujimqin sheep				UJQ1	female		Scaffold	2021-12-30	JAJTAN01	3724
ASM2132670v1	GCA_021326705.1		Ovis aries	Ovis aries	Qiaoke sheep				QK1	female		Scaffold	2021-12-30	JAJTAI01	3883
seqoccin.Sh.SAMEA118215310_hap2_	GCA_984506465.1		Ovis aries	Ovis aries		mammals						Scaffold	2026-06-16	CFGVMN01	398
ASM2132581v1	GCA_021325815.1		Ovis aries	Ovis aries	Charollais sheep				CHA1	female		Scaffold	2021-12-30	JAJTAB01	3950
ASM2425648v1	GCA_024256485.1		Ovis aries	Ovis aries	Romanov sheep				Rmnv1	female		Scaffold	2022-07-12	JAMFTI01	2758
ASM2132714v1	GCA_021327145.1		Ovis aries	Ovis aries	Romney sheep				ROM1	female		Contig	2021-12-30	JAJTAJ01	4448
ASM2132697v1	GCA_021326975.1		Ovis aries	Ovis aries	Romney sheep				ROM1	female		Scaffold	2021-12-30	JAJTAK01	3948
ASM2132724v1	GCA_021327245.1		Ovis aries	Ovis aries	Suffolk sheep				SFK1	female		Scaffold	2021-12-30	JAJTAL01	4148
ASM2132585v1	GCA_021325855.1		Ovis aries	Ovis aries	Charollais sheep				CHA1	female		Scaffold	2021-12-30	JAJTAC01	3929
ASM2425650v1	GCA_024256505.1		Ovis aries	Ovis aries	Romanov sheep				Rmnv1	female		Scaffold	2022-07-12	JAMFTJ01	2447
ASM2132728v1	GCA_021327285.1		Ovis aries	Ovis aries	Suffolk sheep				SFK1	female		Scaffold	2021-12-30	JAJTAM01	4205
ASM2132586v1	GCA_021325865.1		Ovis aries	Ovis aries	Chinese Merino sheep				MER1	female		Contig	2021-12-30	JAJTAE01	4824
ASM2132583v1	GCA_021325835.1		Ovis aries	Ovis aries	Texel sheep				TEX1	female		Scaffold	2021-12-30	JAJSZZ01	5069
ASM2132739v1	GCA_021327395.1		Ovis aries	Ovis aries	Texel sheep				TEX1	female		Scaffold	2021-12-30	JAJTAA01	4962
seqoccin.Sh.SAMEA118215307	GCA_965365915.1		Ovis aries	Ovis aries		mammals						Scaffold	2025-07-02	CBDUDN01	4678
seqoccin.Go.SAMEA118215307_	GCA_984506805.1		Ovis aries	Ovis aries		mammals						Scaffold	2026-06-16	CFGVMT01	4678
ASM2132587v1	GCA_021325875.1		Ovis aries	Ovis aries	Chinese Merino sheep				MER1	female		Scaffold	2021-12-30	JAJTAD01	5483
seqoccin.Sh.SAMEA118215300	GCA_965363425.1		Ovis aries	Ovis aries		mammals						Scaffold	2025-07-08	CBDTYA01	2868
seqoccin.Go.SAMEA118215300_	GCA_984514435.1		Ovis aries	Ovis aries		mammals						Scaffold	2026-06-16	CFGWSU01	2868
ASM2132735v1	GCA_021327355.1		Ovis aries	Ovis aries	White Dorper sheep				WDU1	female		Scaffold	2021-12-30	JAJTAP01	7399
ASM2132733v1	GCA_021327335.1		Ovis aries	Ovis aries	White Dorper sheep				WDU1	female		Scaffold	2021-12-30	JAJTAQ01	7280
seqoccin.Go.SAMEA118215310_	GCA_984506965.1		Ovis aries	Ovis aries		mammals						Scaffold	2026-06-16	CFGVNO01	5078
ASM3243364v1	GCA_032433645.1		Ovis aries	Ovis aries	Bangladeshi sheep				NIB_DS	female		Contig	2023-10-06	JAVYAH01	900576
seqoccin.Go.SAMEA118215294_hap2	GCA_965364655.1		Capra hircus	Capra hircus		mammals						Scaffold	2025-10-28	CBDTZD03	213
seqoccin.Go.SAMEA118215288_hap2_	GCA_984506535.1		Capra hircus	Capra hircus		mammals						Scaffold	2026-06-16	CFGVMQ01	213
ASM5412696v1	GCA_054126965.1		Capra hircus	Capra hircus	Nguni			Pedi				Scaffold	2025-12-22	JBNQSG01	77
ASM5755779v1	GCA_057557795.1		Capra hircus	Capra hircus	Korean native black goat				KNBG_J_M	male		Scaffold	2026-05-15	JBXEOJ01	364
ASM5755771v1	GCA_057557715.1		Capra hircus	Capra hircus	Korean native black goat				KNBG_J_F	female		Scaffold	2026-05-15	JBXEOI01	347
ASM5755781v1	GCA_057557815.1		Capra hircus	Capra hircus	Korean native black goat				KNBG_J_M	male		Scaffold	2026-05-15	JBXEOK01	111
seqoccin.Go.SAMEA118215288_hap1_	GCA_984506425.1		Capra hircus	Capra hircus		mammals						Scaffold	2026-06-16	CFGVMJ01	112
ASM5755769v1	GCA_057557695.1		Capra hircus	Capra hircus	Korean native black goat				KNBG_J_F	female		Scaffold	2026-05-15	JBXEOH01	887
ASM5933559v1	GCA_059335595.1		Capra hircus	Capra hircus	Cape Speckled							Scaffold	2026-07-13	JBWDSV01	798
seqoccin.Go.SAMEA118215294.2	GCA_977879805.1		Capra hircus	Capra hircus		mammals						Scaffold	2026-02-25	CDWKDW01	2010
seqoccin.Go.SAMEA118215292	GCA_965363885.1		Capra hircus	Capra hircus		mammals						Scaffold	2025-07-08	CBDTXK01	2713
seqoccin.Go.SAMEA118215292_	GCA_977880105.2		Capra hircus	Capra hircus		mammals						Scaffold	2026-06-16	CDWKDV02	2713
seqoccin.Go.SAMEA118215289	GCA_965363395.1		Capra hircus	Capra hircus		mammals						Scaffold	2025-07-02	CBDTXY01	1979
seqoccin.Go.SAMEA118215289_	GCA_984506515.1		Capra hircus	Capra hircus		mammals						Scaffold	2026-06-16	CFGVMO01	1979
seqoccin.Go.SAMEA118215296	GCA_965365845.1		Capra hircus	Capra hircus		mammals						Scaffold	2025-07-02	CBDUDM01	2046
seqoccin.Go.SAMEA118215296.2	GCA_977879435.1		Capra hircus	Capra hircus		mammals						Scaffold	2026-02-25	CDWKDU01	2046
seqoccin.Go.SAMEA118215293	GCA_965363845.1		Capra hircus	Capra hircus		mammals						Scaffold	2025-07-02	CBDTXQ01	2927
seqoccin.Go.SAMEA118215293_	GCA_984513855.1		Capra hircus	Capra hircus		mammals						Scaffold	2026-06-16	CFGWST01	2927
seqoccin.Go.SAMEA118215295	GCA_965363855.1		Capra hircus	Capra hircus		mammals						Scaffold	2025-07-08	CBDTXO01	2302
seqoccin.Go.SAMEA118215295_	GCA_984513515.1		Capra hircus	Capra hircus		mammals						Scaffold	2026-06-16	CFGWSS01	2302
seqoccin.Go.SAMEA118215291	GCA_965365925.1		Capra hircus	Capra hircus		mammals						Scaffold	2025-07-08	CBDUDO01	3015
seqoccin.Go.SAMEA118215291_	GCA_984506825.1		Capra hircus	Capra hircus		mammals						Scaffold	2026-06-16	CFGVMR01	3015
CaHircus_AHG_v1	GCA_055691435.1		Capra hircus	Capra hircus		AHG						Scaffold	2026-03-05	JBVNAF01	19632
SIW_1.0	GCA_057190485.1		Bos indicus	Bos indicus	Singida White					female		Scaffold	2026-05-04	JBNBOL01	445
GUD_1.0	GCA_057190595.1		Bos indicus	Bos indicus	Gudali					female		Scaffold	2026-05-04	JBNBOO01	221
ASM3026980v1	GCA_030269805.1		Bos indicus	Bos indicus	Guanling cattle					female		Scaffold	2023-06-13	JAKQXU01	95
IRR_1.0	GCA_057190515.1		Bos indicus	Bos indicus	Iringa Red					male		Scaffold	2026-05-04	JBNBOM01	307
IISER_Bind_1.0b	GCA_033030755.1		Bos indicus	Bos indicus					VRC1			Contig	2023-10-27	JAUBKJ01	1366
NIAB_Red_sindhi_supernova	GCA_963966425.1		Bos indicus	Bos indicus								Scaffold	2025-03-03	CAWZZM01	20635
NIAB_Sahiwal_supernova	GCA_963966355.1		Bos indicus	Bos indicus								Scaffold	2025-03-03	CAWZZB01	22010
NIAB_Kankrej_supernova	GCA_963966215.1		Bos indicus	Bos indicus								Scaffold	2025-03-03	CAWZYN01	33833
NIAB_Tharparkar_supernova	GCA_963966345.1		Bos indicus	Bos indicus								Scaffold	2025-03-03	CAWZZA01	42943
NIAB_Gir_supernova	GCA_963966175.1		Bos indicus	Bos indicus								Scaffold	2025-03-03	CAWZYL01	40451
NIB_MC	GCA_030847515.1		Bos indicus	Bos indicus	Mirkadim			Munshiganj cattle		female		Scaffold	2023-08-21	JASFDU01	1007556
Bubbub1.0	GCA_004794615.1		Bubalus bubalis	Bubalus bubalis	Bangladesh					male		Scaffold	2019-04-15	NPZD01	33821
ASM299383v1	GCA_002993835.1		Bubalus bubalis	Bubalus bubalis	Egyptian buffalo				EGYBUF_1.0	female		Scaffold	2018-03-09	LPUW01	99165
